slug,soc_code,title,matched_label,match_score,review_required,top2_label,top2_score,top3_label,top3_score,llm_soc_code,llm_confidence,llm_reason,llm_model,llm_review_required,llm_candidates,api_soc_code,api_soc_title,api_match_method,api_score
3d-printing-technician,3120,3D printing technician,"CAD, drawing and architectural technicians",100.0,no,Printers,71.4,Print finishing and binding workers,70.0,3113,0.830,"A 3D printing technician is most plausibly an engineering/manufacturing technical role involving operation, setup, testing and support of 3D printing equipment and processes. Among the allowed candidates, Engineering technicians best fits this hands-on technical engineering context. The other options are in IT, printing pre-press, healthcare, finance, or vehicle paint and are less relevant.",openai/gpt-5.4,yes,3131|3113|5233|5421|3212|3533|3211|3132,3120,"CAD, drawing and architectural technicians",add_titles_exact,100.0
accommodation-warden,3314,Accommodation warden,Prison service officers (below principal officer),87.0,no,Senior care workers,75.0,Probation officers,66.7,1221,0.660,"'Accommodation warden' is most plausibly linked to overseeing accommodation or residential premises, which aligns best among the allowed options with hotel and accommodation management. The other candidates are largely unrelated (education, taxation, engineering, probation, teaching, communication). 'Warden' may imply a supervisory rather than full managerial role, so confidence is moderate rather than high.",openai/gpt-5.4,yes,7213|1221|2322|2423|3221|2125|2462|2313,3314,Prison service officers (below principal officer),manual_review_y,100.0
accounting-technician,3533,Accounting technician,Financial and accounting technicians,100.0,no,Financial accounts managers,82.4,Chartered and certified accountants,80.0,3533,0.980,The job title 'Accounting technician' directly matches 'Financial and accounting technicians' and is clearly the best fit among the allowed candidates.,openai/gpt-5.4,no,3533|3113|3212|3131|3111|5233|3213|3132,3533,Financial and accounting technicians,add_titles_exact,100.0
acoustics-consultant,2224,Acoustics consultant,Psychotherapists and cognitive behaviour therapists,83.3,no,Pharmaceutical technicians,75.0,Managers in logistics,71.4,,0.980,"'Acoustics consultant' is typically a specialist scientific/engineering consultancy role, and none of the allowed candidates fit that occupation. The listed options are mainly directors, archive/museum, education support, horticulture, records, leisure, or customer service roles, which do not match acoustics consultancy.",openai/gpt-5.4,no,1258|2472|6112|5112|4131|6211|7219|6113,2431,Management consultants and business analysts,manual_review_override,100.0
actor,3413,Actor,"Actors, entertainers and presenters",100.0,no,"Actors, entertainers and presenters",100.0,Exam invigilators,88.9,,0.990,"The job title 'Actor' refers to a performing arts occupation. None of the allowed SOC candidates correspond to acting or performing arts roles; they are unrelated occupations such as care escorts, steel erectors, dental practitioners, architects, plasterers, cooks, caretakers, or taxation experts.",openai/gpt-5.4,no,6137|5311|2253|2451|5321|5435|6232|2423,3413,"Actors, entertainers and presenters",add_titles_exact,100.0
actuary,2433,Actuary,"Actuaries, economists and statisticians",100.0,no,"Production, factory and assembly supervisors",71.4,"Undertakers, mortuary and crematorium assistants",71.4,,0.990,"Actuary is a distinct professional occupation and none of the allowed SOC candidates correspond to actuarial work. The provided options are unrelated (e.g. clergy, secretaries, data analysts, architects, trades), so the correct choice among the allowed set is no_match.",openai/gpt-5.4,no,2463|4212|3544|4211|5112|2451|5321|6232,2433,"Actuaries, economists and statisticians",add_titles_exact,100.0
acupuncturist,2229,Acupuncturist,Therapy professionals n.e.c.,100.0,no,Florists,72.7,IT managers,66.7,,0.960,"Acupuncturist is an alternative/complementary therapy role and does not fit any of the provided candidates. The listed options are unrelated occupations such as occupational therapist, podiatrist, optometrist, artist, receptionist, scientist, or architect, so the best choice from the allowed set is no_match.",openai/gpt-5.4,yes,2222|2256|3411|2252|4216|2111|2114|2451,2229,Therapy professionals n.e.c.,add_titles_exact,100.0
admin-assistant,4159,Admin assistant,Other administrative occupations n.e.c.,100.0,no,Company secretaries and administrators,100.0,Other administrative occupations n.e.c.,100.0,4151,0.620,"'Admin assistant' is a general administrative support role. Among the allowed candidates, 4151 Sales administrators is the closest office/admin occupation. The other options are mainly teaching, travel, leisure, retail, or catering assistant roles, which do not fit as well. Confidence is moderate because a more general administrative SOC would likely be preferable, but it is not available in the candidate list.",openai/gpt-5.4,yes,6112|6213|6214|7111|9263|6211|6113|4151,4159,Other administrative occupations n.e.c.,manual_override,100.0
advertising-account-executive,2494,Advertising account executive,Advertising accounts managers and creative directors,82.6,no,Business sales executives,68.6,Advertising and marketing associate professionals,66.7,2494,0.930,"'Advertising account executive' in UK usage typically refers to a client-facing role in an advertising agency managing accounts and campaigns, which aligns closely with 'Advertising accounts managers and creative directors'. This is a much better fit than general sales or broader marketing associate roles.",openai/gpt-5.4,yes,2494|3552|2421|8133|3554|8120|6312|8111,2494,Advertising accounts managers and creative directors,manual_review_override,100.0
advertising-account-planner,2494,Advertising account planner,Advertising accounts managers and creative directors,88.9,no,Advertising and marketing associate professionals,66.7,Sports players,66.7,2494,0.750,"'Advertising account planner' is an advertising-specific client/account role, which aligns best with 'Advertising accounts managers and creative directors'. Other 'accounts' options refer to financial/accounting occupations, and marketing associate professional is broader/lower match than the dedicated advertising accounts category.",openai/gpt-5.4,yes,2494|3534|2421|5436|1251|2432|5113|3554,2494,Advertising accounts managers and creative directors,api_ranked_manual_pass,88.9
