slug,title,correct?,soc_code,matched_label,match_score,review_required,api_match_method,api_score,api_soc_code,api_soc_title,llm_soc_code,llm_confidence,llm_review_required,llm_reason,top2_label,top2_score,top3_label,top3_score,suggested_soc_code,suggested_soc_title,suggested_confidence,suggested_reason,suggested_alt1_code,suggested_alt1_title,suggested_alt2_code,suggested_alt2_title
athlete,Athlete,3432,2226,Other psychologists,54.5,yes,api_ranked_manual_pass,54.5,2226,Other psychologists,,,,,Routine inspectors and testers,61.5,Elected officers and representatives,61.5,2229,Therapy professionals n.e.c.,85,Title/alias similarity + hint similarity,1224,Leisure and sports managers and proprietors,3432,"Sports coaches, instructors and officials"
pharmacologist,Pharmacologist,2119,2229,Therapy professionals n.e.c.,54.5,yes,api_ranked_manual_pass,54.5,2229,Therapy professionals n.e.c.,,,,,Pharmacists,83.3,Florists,76.9,2229,Therapy professionals n.e.c.,54.5,Title/alias similarity + hint similarity,,,,
paraplanner,Paraplanner,2422,3431,Sports players,63.6,yes,no_results,0,,,,,,,Paper and wood machine operatives,62.5,Plasterers,62.5,2422,Finance and investment analysts and advisers,73,Title/alias similarity + hint similarity,1172,Social services managers and directors,1131,Financial managers and directors
astronaut,Astronaut,2126,3411,Artists,66.7,yes,no_results,0,,,,,,,Occupational therapists,66.7,IT managers,66.7,4133,Stock control clerks and assistants,66,Title/alias similarity + hint similarity,3531,Brokers,8115,Metal making and treating process operatives
coastguard,Coastguard,8232,5435,Cooks,66.7,yes,no_results,0,,,,,,,Construction operatives n.e.c.,62.5,Construction and building trades supervisors,62.5,1171,Health services and public health managers and directors,69,Title/alias similarity + hint similarity,1172,Social services managers and directors,3319,Protective service associate professionals n.e.c.
roustabout,Roustabout,8113,2132,IT managers,66.7,yes,no_results,0,,,,,,,Restaurant and catering establishment managers and proprietors,62.5,Warehouse operatives,61.5,3581,Inspectors of standards and regulations,58.9,Title/alias similarity + hint similarity,5223,Metal working production and maintenance fitters,8113,Chemical and related process operatives
steeplejack,Steeplejack,5319,5435,Cooks,66.7,yes,no_results,0,,,,,,,Steel erectors,66.7,Street cleaners,63.6,9129,Elementary construction occupations n.e.c.,83.7,Title/alias similarity + hint similarity,2121,Civil engineers,5319,Construction and building trades n.e.c.
esports-gamer,Esports gamer,3431,1224,Leisure and sports managers and proprietors,69.2,yes,api_ranked_manual_pass,69.2,1224,Leisure and sports managers and proprietors,,,,,Sports players,78.3,Newspaper and periodical broadcast journalists and reporters,73.7,3432,"Sports coaches, instructors and officials",72.7,Title/alias similarity + hint similarity,1224,Leisure and sports managers and proprietors,2134,Programmers and software development professionals 
agronomist,Agronomist,9111,5111,"Actuaries, economists and statisticians",70,yes,no_results,0,,,5111,0.37,yes,"Agronomist is an agricultural specialist role concerned with crop and soil management. Among the allowed options, 5111 Farmers is the closest agriculture-related category; the other candidates are clearly unrelated. Confidence is limited because agronomist is not a direct match to farmer and would normally fit a scientific/agricultural adviser type code if available.",Telephonists,66.7,Florists,66.7,5111,Farmers,85,Title/alias similarity + hint similarity,1211,Managers and proprietors in agriculture and horticulture,9111,Farm workers
astronomer,Astronomer,2119,7213,Communication operators,70,yes,no_results,0,,,,,,,Customer service supervisors,66.7,Customer service occupations n.e.c.,66.7,3111,Laboratory technicians,83.7,Title/alias similarity + hint similarity,2152,Environment professionals,2119,Natural and social science professionals n.e.c.
